duration, protocol_type, service, flag, src_bytes, dst_bytes, land, wrong_fragment, urgent, hot, num_failed_logins, logged_in, num_compromised, root_shell, su_attempted, num_root, num_file_creations, num_shells, num_access_files, num_outbound_cmds, is_host_login, is_guest_login, count, srv_count, serror_rate, srv_error_rate, rerror_rate, srv_rerror_rate, same_srv_rate, diff_srv_rate, srv_diff_host_rate, dst_host_count, dst_host_srv_count, dst_host_same_srv_rate, dst_host_diff_srv_rate, dst_host_same_src_port_rate, dst_host_srv_diff_host_rate, dst_host_serror_rate, dst_host_srv_serror_rate, dst_host_rerror_rate, dst_host_srv_rerror_rate
0.0,0.0,0.0,0.0,0.00349,0.0165,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.007,0.018,0.0,0.0,0.0,0.0,0.1,0.0,0.011,0.255,0.255,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00225,0.03257,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.255,0.1,0.0,0.0,0.001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00204,0.01069,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.199,0.255,0.1,0.0,0.001,0.002,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00268,0.0025,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.005,0.006,0.0,0.0,0.0,0.0,0.1,0.0,0.033,0.097,0.255,0.1,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00378,0.01815,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.062,0.255,0.1,0.0,0.002,0.001,0.0,0.001,0.0,0.0
0.0,0.0,0.0,0.0,0.00278,0.01496,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.109,0.228,0.1,0.0,0.001,0.003,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00219,0.03211,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.115,0.255,0.1,0.0,0.001,0.002,0.0,0.0,0.0,0.0
0.0001,0.0,0.04,0.0,5e-05,0.0036,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.118,0.007,0.003,0.06,0.001,0.029,0.0,0.0,0.056,0.0
0.0,0.0,0.0,0.0,0.00261,0.03834,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.255,0.246,0.096,0.001,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.00911,0.00335,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.014,0.191,0.086,0.014,0.007,0.003,0.0,0.0,0.0,0.0
