duration, protocol_type, service, flag, src_bytes, dst_bytes, land, wrong_fragment, urgent, hot, num_failed_logins, logged_in, num_compromised, root_shell, su_attempted, num_root, num_file_creations, num_shells, num_access_files, num_outbound_cmds, is_host_login, is_guest_login, count, srv_count, serror_rate, srv_error_rate, rerror_rate, srv_rerror_rate, same_srv_rate, diff_srv_rate, srv_diff_host_rate, dst_host_count, dst_host_srv_count, dst_host_same_srv_rate, dst_host_diff_srv_rate, dst_host_same_src_port_rate, dst_host_srv_diff_host_rate, dst_host_serror_rate, dst_host_srv_serror_rate, dst_host_rerror_rate, dst_host_srv_rerror_rate
0.0,0.0,0.0,0.08,0.53776,0.073,0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.003,0.003,0.0,0.0,0.067,0.067,0.1,0.0,0.0,0.07,0.07,0.1,0.0,0.001,0.0,0.0,0.0,0.02,0.02
0.0,0.0,0.1,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.509,0.001,0.021,0.0,0.078,0.1,0.0,0.1,0.0,0.255,0.001,0.0,0.1,0.0,0.0,0.028,0.0,0.069,0.1
0.0032,0.0,0.07,0.0,0.00104,0.00449,0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0,0.0,0.1,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.001,0.001,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08,0.5454,0.073,0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.003,0.004,0.0,0.0,0.033,0.05,0.1,0.0,0.05,0.255,0.255,0.1,0.0,0.0,0.0,0.0,0.0,0.004,0.004
0.0,0.02,0.09,0.0,0.01032,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.511,0.511,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.255,0.083,0.033,0.004,0.033,0.0,0.009,0.0,0.002,0.0
0.0,0.0,0.12,0.08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.181,0.001,0.001,0.018,0.034,0.0,0.0,0.0,0.034,0.1
0.0061,0.0,0.05,0.0,0.00294,0.03929,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.255,0.004,0.002,0.002,0.0,0.0,0.0,0.025,0.073,0.025
0.0,0.02,0.09,0.0,0.01032,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.255,0.255,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0158,0.0,0.05,0.0,0.01567,0.03095,0,0.0,0.0,0.3,0.0,0.1,0.4,0.1,0.0,0.0,0.1,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.002,0.002,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.05,0.0,0.01587,0.06707,0,0.0,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.001,0.001,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
